idManifestacion	place	entity	date	lugarPublicacionOriginal
220605	London	England		London, England, University
220701	Madrid	Consejo Superior de Investigaciones Científicas		Madrid, Consejo Superior de Investigaciones Científicas, Instituto Miguel de Cervantes de Filología Hispánica
220712	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
220786	Madrid			Madrid
220898	Rio de Janeiro	Fundação Biblioteca Nacional		Rio de Janeiro, Fundação Biblioteca Nacional, [s.a].
221046	Madrid			Madrid
221207	San Sebastián	Facultad de Filosofía y Letras de la Universidad de Deusto		San Sebastián, Facultad de Filosofía y Letras de la Universidad de Deusto
221209	Vitoria	Tomas Robles		Vitoria, Tomas Robles, [s.a.].
221577	Madrid	Librería de Leocadio López		Madrid, Librería de Leocadio López
221598	  			[15--]. 
221612	Bilbao ; Barcelona	Unión Musical Española		Bilbao ; Barcelona [etc.], Unión Musical Española, [19--]. 
221613	S.l.	19--?		[S.l., s.n.], [19--?]. 
221616	Madrid	Unión Musical Española		Madrid [etc.], Unión Musical Española, [19--]. 
221617	Madrid	Unión Musical Española		Madrid [etc.], Unión Musical Española, [19--]. 
221623	Madrid	Unión Musical Española		Madrid [etc.], Unión Musical Española, [19--]. 
221624	Madrid	Unión Musical Española		Madrid [etc.], Unión Musical Española, [19--].
221625	Madrid	Unión Musical Española		Madrid [etc.], Unión Musical Española, [19--]. 
221627	Madrid	Unión Musical Española		Madrid [etc.], Unión Musical Española, [19--]. 
221643	Madrid	Unión Musical Española		[Madrid [etc.]], Unión Musical Española, [19--?].
221678	S.l.	s.a		[S.l.], [s.n.], [s.a.].
221713	Barcelona	Imprenta Hispana de V. Castaños		Barcelona, Imprenta Hispana de V. Castaños, [s.a.].
221768	Madrid	Antonio de San Martín		Madrid, Antonio de San Martín, [s.a.] .
221855	Barcelona	Tip. Moderna de M. Zorio		Barcelona, Tip. Moderna de M. Zorio, [18--]. 
222010	Madrid			Madrid
222073	Madrid			Madrid
222184	S.l.	s.a		[S.l., s.n., s.a.].
222221	  			[17--].  
222222	  			[18--]. 
222236	  			[18--]. 
222515	Alacant ; Barcelona	200		Alacant ; Barcelona, 200
222516	Alacant ; Barcelona	200		Alacant ; Barcelona, 200
222600	París	Sociedad de Ediciones Literarias y Artísticas		París, Sociedad de Ediciones Literarias y Artísticas, [s.a.].
223069	Barcelona	Barcino		Barcelona, Barcino, en premsa
223390	Barcelona			[Barcelona
223428	Paris BN	Esp 543		Paris BN, Esp 543
223437	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía..
223448	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223459	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223469	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223480	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223491	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223502	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223513	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223633	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223655	Madrid	Imprenta de José Blass y Cía		Madrid, Imprenta de José Blass y Cía.
223666	Madrid	Imprenta de Alrededor del Mundo		Madrid, Imprenta de Alrededor del Mundo.
223677	Madrid	Imprenta de Alrededor del Mundo		Madrid, Imprenta de Alrededor del Mundo.
223687	Madrid	Imprenta de Alrededor del Mundo		Madrid, Imprenta de Alrededor del Mundo.
223698	Madrid	Imprenta Científica y Artística de Alrededor del Mundo		Madrid, Imprenta Científica y Artística de Alrededor del Mundo.
223702	  			[16--]. 
223709	Madrid	Imprenta Científica y Artística de Alrededor del Mundo		Madrid, Imprenta Científica y Artística de Alrededor del Mundo.
223720	Madrid	Imprenta Científica y Artística de Alrededor del Mundo		Madrid, Imprenta Científica y Artística de Alrededor del Mundo.
223780	Barcelona	Tobella i Costa		Barcelona, Tobella i Costa. 
223831	México	Imprenta del Supremo Gobierno de los Estados Unidos Mexicanos en Palacio		[México], Imprenta del Supremo Gobierno de los Estados Unidos Mexicanos en Palacio, [s.a.]
224213	S. XIV			S. XIV
224366				17??. 
224382	Manuscrito  del Archivo de la Abadía de Santo Domingo de Silos			Manuscrito 110 del Archivo de la Abadía de Santo Domingo de Silos
224393	Manuscrito  del Archivo del Monasterio de Santo Domingo de Silos			Manuscrito 93 del Archivo del Monasterio de Santo Domingo de Silos
224552	Barcelona	Ilustració Catalana		Barcelona, Ilustració Catalana, [191-?]. 
224574	París	Librería española de Garnier Hermanos		París, Librería española de Garnier Hermanos, [186-?]
224578	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224579	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224580	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224582	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224583	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224584	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224585	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224586	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224587	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224588	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224589	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224590	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224591	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224592	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224593	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224594	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224595	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224596	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224597	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224598	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224599	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224600	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224601	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224603	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224617	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224618	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224620	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224622	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224623	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224624	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224625	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224626	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224627	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224628	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224629	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224630	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224631	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224632	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224633	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224635	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224636	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224637	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224638	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224639	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224640	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224641	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224642	Madrid	Gaspar		Madrid, Gaspar, [18--?]
224643	París	Librería española de Garnier Hermanos		París, Librería española de Garnier Hermanos, [186-?]
224644	París	Librería española de Garnier Hermanos		París, Librería española de Garnier Hermanos, [186-?]
224646	París	Librería española de Garnier Hermanos		París, Librería española de Garnier Hermanos, [186-?]
224680	Madrid	Knossos		[Madrid], Knossos, [s.a.].
224838	Barcelona	191-?		Barcelona: Ilustració Catalana, [191-?]
225113	Barcelona 	190-?		Barcelona : Ilustració Catalana, [190-?]. 
225252	Madrid	S. Calleja		Madrid, S. Calleja, [190?]. 
225263	S.XVI XVII			S.XVI-XVII
225265	Biblioteca Nacional España			Biblioteca Nacional (España). 
225267	S.XV			S.XV
225269	Siglo XIX			Siglo XIX. 
225342	Córdova 	s.a		Córdova : en la imprenta de la calle Carreteras , [s.a.]. 
225398	Segle XV			Segle XV
225411	Sevilla			Sevilla
225487	Santander	Consejería de Educación. Gobierno de Cantabria		Santander, Consejería de Educación. Gobierno de Cantabria, [s.a.]
225488	Madrid	Administración García Rico y Cª		Madrid, Administración García Rico y Cª, [s.a.]
225495	València 	Educació i Ciència : Universitat de València		[València] : Conselleria de Cultura, Educació i Ciència : Universitat de València
